CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportTickets,LastLoginDays,FeatureUsageCount,CompanySize,Industry,Churn
0010-XXXXX,Male,0,No,No,33,57.19,1887.27,Month-to-month,Mailed check,Yes,Yes,No,DSL,No,No internet service,No,Yes,Yes,No,1,1,4,Micro (<10),Media,No
0011-XXXXX,Female,0,Yes,No,48,41.81,2006.88,Two year,Electronic check,Yes,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,2,2,7,Medium (51-250),Technology,No
0012-XXXXX,Female,0,No,No,72,69.65,5014.8,Two year,Credit card (automatic),No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,2,6,8,Medium (51-250),Consulting,No
0013-XXXXX,Female,1,No,No,11,64.44,708.84,Month-to-month,Credit card (automatic),Yes,Yes,No,No,No internet service,Yes,No,Yes,No,No,0,3,9,Large (251-1000),Manufacturing,No
0014-XXXXX,Male,0,Yes,No,54,26.1,1409.4,Two year,Bank transfer (automatic),No,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,0,3,8,Small (10-50),Media,No
0015-XXXXX,Male,0,Yes,No,63,42.9,2702.7,Two year,Electronic check,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No,No,0,24,7,Medium (51-250),Media,No
0016-XXXXX,Female,0,No,Yes,42,46.54,1954.68,One year,Electronic check,No,Yes,No,DSL,Yes,No,No,No internet service,Yes,No internet service,1,1,8,Small (10-50),Consulting,No
0017-XXXXX,Male,0,No,Yes,48,66.97,3214.56,One year,Bank transfer (automatic),Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,2,6,7,Large (251-1000),Media,No
0018-XXXXX,Female,0,No,No,36,100.88,3631.68,Month-to-month,Bank transfer (automatic),No,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,3,1,6,Small (10-50),Other,No
0019-XXXXX,Female,0,Yes,No,11,40.22,442.42,Month-to-month,Mailed check,Yes,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,1,5,7,Medium (51-250),Retail,Yes
0020-XXXXX,Female,0,No,Yes,71,34.15,2424.65,Two year,Electronic check,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,1,1,8,Medium (51-250),Finance,No
0021-XXXXX,Male,0,Yes,No,20,18.35,367.0,One year,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,1,7,8,Micro (<10),Retail,No
0022-XXXXX,Female,0,Yes,No,28,79.2,2217.6,Month-to-month,Mailed check,Yes,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,2,13,6,Medium (51-250),Education,No
0023-XXXXX,Female,0,No,No,71,50.98,3619.58,One year,Credit card (automatic),Yes,Yes,No,DSL,No,No,Yes,No,No internet service,No,1,13,6,Medium (51-250),Consulting,No
0024-XXXXX,Female,1,No,Yes,4,85.6,342.4,Month-to-month,Mailed check,No,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,2,2,5,Small (10-50),Media,No
0025-XXXXX,Male,0,Yes,No,29,87.61,2540.69,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,5,5,5,Large (251-1000),Media,No
0026-XXXXX,Male,0,No,Yes,40,22.74,909.6,Month-to-month,Electronic check,No,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,0,23,6,Medium (51-250),Media,No
0027-XXXXX,Male,0,Yes,Yes,17,60.3,1025.1,Month-to-month,Electronic check,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,4,10,7,Medium (51-250),Other,Yes
0028-XXXXX,Male,0,Yes,No,48,115.53,5545.44,Month-to-month,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,3,5,8,Medium (51-250),Manufacturing,No
0029-XXXXX,Female,0,Yes,No,38,45.9,1744.2,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,3,13,3,Medium (51-250),Other,Yes
0030-XXXXX,Female,0,No,Yes,19,71.47,1357.93,One year,Mailed check,No,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,1,21,7,Medium (51-250),Consulting,No
0031-XXXXX,Female,0,Yes,Yes,15,72.3,1084.5,Two year,Mailed check,Yes,Yes,Yes,No,Yes,No,No,No internet service,Yes,No,0,10,8,Small (10-50),Other,No
0032-XXXXX,Male,0,No,No,20,44.44,888.8,Month-to-month,Electronic check,Yes,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,0,5,6,Large (251-1000),Media,No
0033-XXXXX,Male,0,Yes,No,57,96.57,5504.49,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,1,21,8,Medium (51-250),Technology,Yes
0034-XXXXX,Male,1,Yes,Yes,38,18.62,707.56,Two year,Electronic check,Yes,No,No phone service,No,Yes,Yes,No internet service,No,No,No,2,0,7,Small (10-50),Other,No
0035-XXXXX,Male,0,Yes,Yes,57,41.04,2339.28,Month-to-month,Mailed check,Yes,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No,1,0,3,Large (251-1000),Healthcare,No
0036-XXXXX,Male,1,Yes,No,52,77.8,4045.6,Month-to-month,Mailed check,Yes,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,0,2,8,Small (10-50),Healthcare,No
0037-XXXXX,Male,0,No,Yes,58,110.44,6405.52,Month-to-month,Bank transfer (automatic),No,Yes,No,DSL,No,No,No,Yes,No,Yes,0,2,5,Small (10-50),Healthcare,No
0038-XXXXX,Male,0,No,No,62,19.21,1191.02,Two year,Mailed check,Yes,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,0,5,9,Micro (<10),Consulting,No
0039-XXXXX,Female,0,No,No,45,78.64,3538.8,Month-to-month,Credit card (automatic),Yes,No,No phone service,No,Yes,Yes,No,No internet service,Yes,No,1,8,5,Large (251-1000),Healthcare,No
0040-XXXXX,Male,0,Yes,No,26,18.59,483.34,Two year,Credit card (automatic),No,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,0,11,7,Medium (51-250),Finance,No
0041-XXXXX,Female,0,No,No,50,80.84,4042.0,Two year,Credit card (automatic),Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,No,2,3,7,Large (251-1000),Education,No
0042-XXXXX,Female,0,No,No,68,59.62,4054.16,Two year,Mailed check,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,2,7,5,Enterprise (1000+),Other,No
0043-XXXXX,Male,0,Yes,Yes,23,61.91,1423.93,Two year,Electronic check,No,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,1,6,6,Small (10-50),Real Estate,No
0044-XXXXX,Female,0,No,No,35,115.48,4041.8,One year,Credit card (automatic),Yes,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,1,1,6,Large (251-1000),Consulting,No
0045-XXXXX,Female,0,No,Yes,64,86.82,5556.48,Two year,Electronic check,No,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No,0,2,6,Medium (51-250),Education,No
0046-XXXXX,Male,0,No,No,43,37.99,1633.57,Month-to-month,Credit card (automatic),No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,1,2,5,Small (10-50),Healthcare,No
0047-XXXXX,Male,0,No,Yes,10,118.48,1184.8,Two year,Electronic check,No,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,3,7,5,Enterprise (1000+),Finance,No
0048-XXXXX,Female,0,No,No,25,44.05,1101.25,Month-to-month,Credit card (automatic),Yes,No,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,2,2,8,Small (10-50),Retail,No
0049-XXXXX,Male,0,No,Yes,18,87.18,1569.24,Month-to-month,Bank transfer (automatic),No,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,0,10,5,Micro (<10),Media,No
0050-XXXXX,Male,0,No,No,34,86.62,2945.08,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No,2,0,12,Micro (<10),Manufacturing,Yes
0051-XXXXX,Male,0,No,No,72,103.65,7462.8,Two year,Bank transfer (automatic),No,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,2,9,7,Medium (51-250),Technology,No
0052-XXXXX,Female,0,Yes,Yes,61,58.34,3558.74,Month-to-month,Electronic check,Yes,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,4,24,5,Large (251-1000),Real Estate,Yes
0053-XXXXX,Female,0,No,No,70,88.19,6173.3,One year,Mailed check,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,4,4,Medium (51-250),Technology,No
0054-XXXXX,Female,0,No,Yes,54,81.16,4382.64,One year,Electronic check,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,2,2,5,Small (10-50),Real Estate,No
0055-XXXXX,Female,0,Yes,No,37,62.11,2298.07,One year,Credit card (automatic),Yes,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,1,0,8,Medium (51-250),Retail,No
0056-XXXXX,Male,0,No,No,48,110.3,5294.4,Month-to-month,Mailed check,Yes,Yes,Yes,No,No internet service,Yes,No,No,No internet service,Yes,0,24,6,Micro (<10),Finance,No
0057-XXXXX,Female,0,No,No,36,43.57,1568.52,One year,Electronic check,No,No,No phone service,No,No,No,No internet service,Yes,No,No,2,1,7,Large (251-1000),Consulting,No
0058-XXXXX,Male,0,No,No,2,40.79,81.58,One year,Electronic check,No,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No internet service,1,6,4,Small (10-50),Healthcare,No
0059-XXXXX,Male,0,No,No,8,81.6,652.8,Two year,Credit card (automatic),No,No,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,1,2,7,Micro (<10),Consulting,No
0060-XXXXX,Female,0,Yes,No,40,37.37,1494.8,Two year,Credit card (automatic),No,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,2,2,4,Micro (<10),Finance,No
0061-XXXXX,Male,0,No,No,48,101.66,4879.68,Month-to-month,Credit card (automatic),Yes,Yes,No phone service,No,No,Yes,No,No,Yes,No,1,5,6,Small (10-50),Manufacturing,Yes
0062-XXXXX,Female,0,No,No,18,52.39,943.02,Month-to-month,Electronic check,Yes,Yes,Yes,DSL,No internet service,No,No,No,No,No,1,13,8,Micro (<10),Finance,Yes
0063-XXXXX,Female,0,No,No,2,60.57,121.14,One year,Bank transfer (automatic),No,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,1,5,7,Large (251-1000),Manufacturing,No
0064-XXXXX,Female,0,Yes,No,5,86.82,434.1,Month-to-month,Mailed check,No,No,No phone service,No,No,Yes,No,No,No,No,1,9,6,Enterprise (1000+),Media,Yes
0065-XXXXX,Female,0,Yes,Yes,22,107.2,2358.4,One year,Bank transfer (automatic),No,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,2,0,7,Small (10-50),Consulting,No
0066-XXXXX,Female,0,No,No,62,87.59,5430.58,Two year,Credit card (automatic),Yes,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,Yes,2,12,7,Small (10-50),Retail,No
0067-XXXXX,Male,1,Yes,Yes,30,27.72,831.6,Month-to-month,Electronic check,Yes,Yes,No,No,Yes,No,No,Yes,No,No,2,12,10,Enterprise (1000+),Technology,Yes
0068-XXXXX,Male,0,Yes,No,71,52.23,3708.33,Two year,Mailed check,No,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,2,17,6,Small (10-50),Manufacturing,No
0069-XXXXX,Male,0,No,No,65,93.63,6085.95,Month-to-month,Electronic check,Yes,Yes,No,No,No internet service,No,No,No,Yes,No internet service,0,20,6,Small (10-50),Manufacturing,No
0070-XXXXX,Male,0,No,No,62,109.48,6787.76,Two year,Mailed check,Yes,Yes,No,No,No,No internet service,No,No,Yes,Yes,1,8,2,Micro (<10),Real Estate,Yes
0071-XXXXX,Male,0,No,Yes,70,81.95,5736.5,Month-to-month,Electronic check,Yes,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,4,5,8,Small (10-50),Finance,No
0072-XXXXX,Female,1,No,Yes,17,78.16,1328.72,Two year,Electronic check,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,0,10,9,Micro (<10),Education,No
0073-XXXXX,Male,0,No,No,71,56.36,4001.56,Month-to-month,Electronic check,No,Yes,Yes,DSL,No,No internet service,No,No internet service,No internet service,No internet service,1,0,7,Small (10-50),Real Estate,Yes
0074-XXXXX,Male,0,No,No,67,66.29,4441.43,Month-to-month,Electronic check,Yes,No,No phone service,Fiber optic,No,No,No,No,Yes,No,1,24,10,Medium (51-250),Real Estate,No
0075-XXXXX,Male,0,No,No,58,61.69,3578.02,Month-to-month,Bank transfer (automatic),No,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No,2,3,7,Medium (51-250),Real Estate,No
0076-XXXXX,Male,0,No,No,14,23.8,333.2,One year,Bank transfer (automatic),No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,3,0,7,Micro (<10),Education,No
0077-XXXXX,Female,0,No,Yes,21,20.45,429.45,Two year,Credit card (automatic),Yes,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No,2,9,6,Large (251-1000),Other,No
0078-XXXXX,Female,0,Yes,No,47,80.3,3774.1,Two year,Mailed check,No,Yes,No,No,No,Yes,No,No,Yes,Yes,0,1,7,Medium (51-250),Other,No
0079-XXXXX,Female,1,Yes,No,3,69.49,208.47,One year,Bank transfer (automatic),Yes,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,2,0,5,Micro (<10),Real Estate,No
0080-XXXXX,Female,1,No,Yes,59,42.86,2528.74,Month-to-month,Credit card (automatic),Yes,Yes,No,DSL,No,No,No internet service,Yes,No,No,1,9,6,Micro (<10),Consulting,No
0081-XXXXX,Male,0,No,No,31,107.97,3347.07,Two year,Mailed check,Yes,Yes,No,DSL,No,No,No,No internet service,No,Yes,2,7,4,Micro (<10),Media,No
0082-XXXXX,Female,1,No,Yes,1,39.01,39.01,Month-to-month,Bank transfer (automatic),No,No,No phone service,No,No,No,Yes,No,No,No,1,1,7,Micro (<10),Media,Yes
0083-XXXXX,Male,0,No,Yes,21,88.65,1861.65,One year,Credit card (automatic),Yes,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,2,6,5,Small (10-50),Other,No
0084-XXXXX,Male,0,No,Yes,28,97.48,2729.44,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,DSL,No,No internet service,No,Yes,No,No internet service,2,1,6,Large (251-1000),Other,Yes
0085-XXXXX,Male,1,Yes,No,47,102.69,4826.43,Two year,Electronic check,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No internet service,1,0,7,Small (10-50),Retail,No
0086-XXXXX,Female,0,No,No,43,102.62,4412.66,Month-to-month,Electronic check,No,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No internet service,2,7,7,Medium (51-250),Other,Yes
0087-XXXXX,Male,0,No,Yes,27,98.07,2647.89,Month-to-month,Electronic check,No,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,3,0,6,Small (10-50),Real Estate,No
0088-XXXXX,Male,0,Yes,No,45,64.26,2891.7,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,2,3,8,Medium (51-250),Real Estate,Yes
0089-XXXXX,Female,0,No,No,65,80.95,5261.75,One year,Bank transfer (automatic),No,Yes,No,No,No,Yes,No,No internet service,No,Yes,0,3,6,Small (10-50),Consulting,No
0090-XXXXX,Male,0,No,No,25,104.45,2611.25,Month-to-month,Electronic check,No,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,Yes,1,1,4,Small (10-50),Education,Yes
0091-XXXXX,Female,0,No,Yes,27,60.49,1633.23,Two year,Mailed check,Yes,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,0,6,9,Medium (51-250),Retail,No
0092-XXXXX,Male,0,Yes,Yes,7,85.67,599.69,One year,Mailed check,Yes,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,1,20,6,Small (10-50),Healthcare,No
0093-XXXXX,Male,0,Yes,Yes,27,34.28,925.56,Two year,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,2,1,6,Small (10-50),Retail,No
0094-XXXXX,Male,0,No,No,20,75.0,1500.0,Month-to-month,Electronic check,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,2,5,4,Micro (<10),Manufacturing,No
0095-XXXXX,Female,0,No,No,55,32.43,1783.65,One year,Electronic check,No,No,No phone service,DSL,No,No,No,No internet service,No internet service,No,0,1,5,Enterprise (1000+),Healthcare,No
0096-XXXXX,Male,0,No,Yes,8,84.61,676.88,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No,No,2,10,4,Medium (51-250),Retail,No
0097-XXXXX,Male,0,Yes,No,43,56.12,2413.16,Two year,Electronic check,Yes,No,No phone service,Fiber optic,Yes,No,No,No,No,No,1,11,5,Large (251-1000),Healthcare,No
0098-XXXXX,Male,0,No,Yes,56,41.15,2304.4,Month-to-month,Bank transfer (automatic),No,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,1,4,9,Micro (<10),Retail,Yes
0099-XXXXX,Female,0,Yes,Yes,18,54.5,981.0,Month-to-month,Mailed check,No,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No,1,20,7,Small (10-50),Media,No
0100-XXXXX,Female,0,Yes,No,4,88.74,354.96,Month-to-month,Mailed check,No,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,2,24,4,Micro (<10),Media,Yes
0101-XXXXX,Female,1,Yes,Yes,49,109.51,5365.99,Month-to-month,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No,2,12,7,Medium (51-250),Healthcare,No
0102-XXXXX,Male,0,No,Yes,42,19.38,813.96,Two year,Electronic check,No,Yes,No,Fiber optic,No,No internet service,No,No,No,No,3,21,6,Small (10-50),Retail,No
0103-XXXXX,Female,0,No,No,41,35.12,1439.92,Month-to-month,Electronic check,Yes,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,1,1,7,Medium (51-250),Media,No
0104-XXXXX,Female,0,Yes,No,64,89.18,5707.52,One year,Credit card (automatic),Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2,18,7,Medium (51-250),Media,No
0105-XXXXX,Female,0,No,No,7,75.41,527.87,Month-to-month,Bank transfer (automatic),No,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,1,8,7,Large (251-1000),Media,No
0106-XXXXX,Male,0,No,No,14,50.33,704.62,Month-to-month,Electronic check,Yes,Yes,Yes,No,No internet service,No,Yes,Yes,Yes,No,1,4,7,Small (10-50),Finance,No
0107-XXXXX,Male,0,No,No,34,83.75,2847.5,Two year,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,1,0,9,Small (10-50),Finance,No
0108-XXXXX,Male,0,No,No,41,105.4,4321.4,One year,Mailed check,Yes,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,1,0,6,Small (10-50),Consulting,No
0109-XXXXX,Female,1,No,No,67,44.18,2960.06,Two year,Bank transfer (automatic),No,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,4,9,6,Large (251-1000),Manufacturing,No
0110-XXXXX,Male,0,Yes,No,45,67.06,3017.7,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,No,No,Yes,Yes,No,No internet service,No,1,8,7,Medium (51-250),Real Estate,Yes
0111-XXXXX,Male,0,Yes,Yes,15,20.34,305.1,One year,Electronic check,Yes,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,1,8,7,Enterprise (1000+),Healthcare,No
0112-XXXXX,Male,0,No,No,62,113.32,7025.84,One year,Bank transfer (automatic),Yes,Yes,No,DSL,No,No,No internet service,No,No,No,0,0,7,Micro (<10),Education,No
0113-XXXXX,Female,1,No,Yes,30,98.82,2964.6,One year,Electronic check,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,0,4,5,Medium (51-250),Retail,No
0114-XXXXX,Male,1,No,No,63,69.01,4347.63,Month-to-month,Mailed check,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,1,10,9,Small (10-50),Manufacturing,No
0115-XXXXX,Female,0,No,No,20,117.95,2359.0,Month-to-month,Mailed check,No,Yes,No,No,No,No,Yes,No,Yes,Yes,0,11,6,Enterprise (1000+),Manufacturing,Yes
0116-XXXXX,Female,0,No,No,57,40.38,2301.66,Month-to-month,Credit card (automatic),No,Yes,Yes,No,No,Yes,No,No,No,No internet service,1,1,9,Medium (51-250),Retail,No
0117-XXXXX,Female,0,No,No,39,93.02,3627.78,One year,Bank transfer (automatic),No,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,0,8,4,Medium (51-250),Education,No
0118-XXXXX,Male,0,No,No,40,95.59,3823.6,Two year,Credit card (automatic),Yes,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,4,22,8,Medium (51-250),Education,Yes
0119-XXXXX,Female,0,Yes,Yes,71,101.75,7224.25,One year,Electronic check,Yes,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,2,5,4,Micro (<10),Manufacturing,No
0120-XXXXX,Female,0,No,No,11,87.1,958.1,Month-to-month,Mailed check,No,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,No,3,13,9,Medium (51-250),Real Estate,No
0121-XXXXX,Female,1,No,Yes,22,37.4,822.8,One year,Bank transfer (automatic),Yes,Yes,Yes,No,No,No internet service,Yes,No,Yes,Yes,1,11,5,Medium (51-250),Other,Yes
0122-XXXXX,Male,0,Yes,No,13,27.43,356.59,Month-to-month,Electronic check,Yes,Yes,Yes,DSL,No,No,No,No,No internet service,No,1,4,10,Medium (51-250),Media,Yes
0123-XXXXX,Male,0,Yes,No,60,36.38,2182.8,Two year,Credit card (automatic),Yes,Yes,No,DSL,No,No internet service,No internet service,Yes,No,Yes,1,4,7,Small (10-50),Other,No
0124-XXXXX,Male,0,No,No,62,104.51,6479.62,Month-to-month,Bank transfer (automatic),No,Yes,No,DSL,No,No,No,No,No,No internet service,2,12,7,Small (10-50),Retail,No
0125-XXXXX,Male,0,No,No,61,58.65,3577.65,One year,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,3,1,3,Micro (<10),Manufacturing,No
0126-XXXXX,Male,0,Yes,Yes,17,73.14,1243.38,Month-to-month,Electronic check,Yes,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,0,2,5,Medium (51-250),Other,No
0127-XXXXX,Male,0,Yes,Yes,18,20.8,374.4,Month-to-month,Mailed check,No,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,1,6,5,Medium (51-250),Healthcare,No
0128-XXXXX,Male,0,Yes,No,29,67.64,1961.56,Month-to-month,Electronic check,No,Yes,No,No,No,Yes,No,Yes,Yes,No internet service,0,0,7,Small (10-50),Healthcare,No
0129-XXXXX,Female,0,Yes,Yes,56,59.38,3325.28,Month-to-month,Credit card (automatic),Yes,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,0,0,6,Large (251-1000),Technology,No
0130-XXXXX,Male,0,No,No,54,71.97,3886.38,Month-to-month,Electronic check,No,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,1,13,7,Medium (51-250),Consulting,No
0131-XXXXX,Female,0,No,No,72,55.96,4029.12,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,3,2,6,Medium (51-250),Retail,No
0132-XXXXX,Female,0,No,No,57,25.83,1472.31,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,DSL,No,No,No internet service,Yes,No,No internet service,3,4,7,Medium (51-250),Media,No
0133-XXXXX,Male,0,Yes,Yes,69,22.67,1564.23,Two year,Credit card (automatic),No,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,16,4,Micro (<10),Retail,No
0134-XXXXX,Female,1,Yes,Yes,19,113.7,2160.3,Month-to-month,Credit card (automatic),No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,0,3,8,Micro (<10),Education,Yes
0135-XXXXX,Male,1,Yes,No,44,78.93,3472.92,Month-to-month,Credit card (automatic),No,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,1,2,8,Enterprise (1000+),Healthcare,Yes
0136-XXXXX,Female,0,No,No,38,82.91,3150.58,One year,Electronic check,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,0,2,8,Small (10-50),Education,No
0137-XXXXX,Male,0,No,No,11,110.25,1212.75,One year,Credit card (automatic),Yes,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,No,0,3,8,Small (10-50),Finance,No
